index,titulo,empresa,ubicacion,salario,modalidad,jornada,categoria,seniority,vacantes,descripcion,url
1,Supervisor QA/QC Eléctrico,Pmec Ingenieria y Construccion Metalmecanica Ecuatoriana S.A,"Joya de los Sachas, Orellana, Ecuador",De $1.200 A $1.300 Por Mes,Presencial,Full-time,,No especificado,1 vacante disponible,"Supervisor QA/QC Eléctrico
Resumen del Puesto
Estamos buscando un Supervisor QA/QC Eléctrico con experiencia para unirse a nuestro equipo. El candidato ideal tendrá entre 4 y 6 años de experiencia en el sector, supervisando y garantizando el cumplimiento de los estándares de calidad en instalaciones eléctricas en proyectos industriales.
Responsabilidades
Supervisar trabajos eléctricos asegurando el cumplimiento de los estándares de calidad.
Realizar inspecciones, verificaciones técnicas y controles en obra.
Elaborar reportes técnicos, gestionar no conformidades y acciones correctivas.
Requisitos
Formación técnica o universitaria en Ingeniería Eléctrica o carreras afines.
Experiencia comprobada de 4 a 6 años en funciones de QA/QC eléctrico en el sector industrial.
Capacidad para interpretar planos eléctricos, especificaciones técnicas y procedimientos de instalación.
Disponibilidad para trabajar bajo régimen rotativo o en campamento. Estamos buscando un Supervisor QA/QC Eléctrico con experiencia para unirse a nuestro equipo. El candidato ideal tendrá entre 4 y 6 años de experiencia en el sector, supervisando y garantizando el cumplimiento de los estándares de calidad en instalaciones eléctricas en proyectos industriales. Somos una empresa del sector servicios petroleros, especializada en: Inspección y reparación de tubería petrolera Alquiler de herramientas para la industria Servicios de workover y reacondicionamiento de pozos Venta de materiales para la industria petroleraNos encontramos en la búsqueda de un ... Impala proporciona servicios críticos de almacenamiento e infraestructura logística a clientes del sector energético y de graneles sólidos de todo el mundo. Actualmente, nos encontramos en la búsqueda de un Técnico de Muestrera.Objetivo:Realizar los pedidos de muestreo de los concentrados dentro ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo. Somos una empresa ecuatoriana en constante innovación, dedicados a la ingeniería, procura y construcción con más de 10 años de experiencia y más de 150 proyectos realizados satisfactoriamente.

Brindamos solución a las empresas en la elaboración y realización de proyectos industriales en el ámbito mecánico, electrónico, eléctrico, civil y automatización.",https://www.multitrabajos.com/empleos/supervisor-qa-qc-electrico-pmec-ingenieria-y-construccion-metalmecanica-ecuatoriana-s.a-1117978050.html
2,Supervisor QA/QC Civil,,"Latacunga, Cotopaxi, Ecuador",,Presencial,"Full-time, Temporal",,,1 vacante disponible,"Garantizar la calidad de los trabajos civiles en obra, asegurando el cumplimiento de especificaciones técnicas, normativas nacionales e internacionales, y estándares internos de la empresa, a través de controles, inspecciones y reportes documentados.

Funciones principales:
Supervisar y controlar las actividades civiles en obra (fundaciones, estructuras, hormigón, acabados, movimiento de tierras, etc.).
Elaborar y ejecutar el Plan de Aseguramiento y Control de Calidad (QA/QC Plan).
Verificar la calidad de materiales de construcción (cemento, acero, agregados, asfalto, etc.).
Coordinar ensayos de laboratorio (compactación, resistencia del hormigón, pruebas de soldadura, etc.).
Emitir reportes de calidad, checklists de inspección y levantar no conformidades.
Dar seguimiento a acciones correctivas y preventivas.
Asegurar la aplicación de normativas de seguridad industrial y medio ambiente en el proceso constructivo.
Coordinar con contratistas, supervisores y residentes de obra para garantizar la entrega conforme a los estándares de calidad.
Requisitos:
Título en Ingeniería Civil (indispensable).
Experiencia mínima de 4 años en áreas de QA/QC o control de calidad en proyectos de construcción.
Conocimiento de normativas y estándares (ASTM, ACI, INEN, ISO 9001).
Manejo de documentación técnica y reportes de calidad.
Deseable experiencia en auditorías internas y externas de calidad.
Manejo de herramientas informáticas (Excel avanzado, Autocad, MS Project deseable). Garantizar la calidad de los trabajos civiles en obra, asegurando el cumplimiento de especificaciones técnicas, normativas nacionales e internacionales, y estándares internos de la empresa, a través de controles, inspecciones y reportes documentados. Nos encntramos en búsqueda de un pasante para el área de Infraestructura que cumpla con el siguiente perfil:Estudiante de los ultios niveles de carreras como arquitectura o ingeniería civilConocimiento de autocad o herramientas similaresManejo de microsoft officeDisponibilidad para realizar sus ... VeoliaEn un mundo donde la sostenibilidad y la gestión eficiente de recursos se han convertido en imperativos globales, Veolia diseña y proporciona soluciones para la gestión de agua, residuos y energía contribuyendo el desarrollo sostenible de ciudades, establecimientos de salud e industrias; ... Importante Empresa de Construcción requiere vincular Líder de Ingeniería de Civil/Estructuras, para la provincia de Pichincha.Profesionales con Título de Tercer Nivel en Ingeniería Civil.Experiencia requerida: 10 años de experiencia, diseño de Estructuras de Hormigón armado, Movimiento de suelos, ... Importante Empresa de Construcción requiere vincular un INSPECTOR DE CALIDAD (CIVIL), para la provincia de Orellana.Profesionales con Título de Tercer Nivel en Ingenieria Civil.Experiencia requerida:Al menos 5 años o más en el área de Calidad enfocado a trabajos del área Civil en el sector Oil & ... VeoliaEn un mundo donde la sostenibilidad y la gestión eficiente de recursos se han convertido en imperativos globales, Veolia diseña y proporciona soluciones para la gestión de agua, residuos y energía contribuyendo el desarrollo sostenible de ciudades, establecimientos de salud e industrias; ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/supervisor-qa-qc-civil-1117986476.html
3,QA,,"Quito, Pichincha, Ecuador",,Presencial,"Full-time, Indeterminado",,Semi Sr,1 vacante disponible,"¡Estamos en búsqueda de tu talento!
Somos una empresa que busca tu entusiasmo, tus ganas de innovar, de crecer y retarte profesionalmente, nos gusta romper esquemas y dar nuesto 100%.
Creemos en tu talento y te queremos con nosotros, ¡Súmate a nuestro equipo!.
Estamos en la búsqueda de nuestro QA
Tus principales retos serán:
Creación de casos y planes de pruebas bien estructurados, completos y detallados.
Abogar por que la calidad se integre en el software y los productos, resaltar y poner medidas para la mitigación de riesgos dentro del equipo lo antes posible.
Colaborar con compañeros de equipo multifuncionales para integrar calidad en cada etapa de la evolución del producto, desde la ideación hasta el uso del cliente.
Realizar regularmente pruebas para obtener información y descubrir riesgos potenciales
Plantear mejoras al código, pruebas, capacidades y sugerir herramientas y frameworks
Examinar procesos end-to-end, incluid el test coverage en todos los procesos de la entrega del producto.
Contribuir a la creación de un conjunto de pruebas automatizado confiable y mantenible para garantizar un análisis simple y efectivo de fallas y evitar cualquier duplicación de casos de prueba.
Entrenar al equipo y alentarlo a adoptar una mentalidad de calidad.
¿Qué te hará ser exitoso en esta posición?
3+ años de experiencia en pruebas de software (Web y App)
Tener experiencia con Agile, gestión de código, estrategias de implementación y gestión de lanzamiento.
Familiaridad con prácticas como TDD, BDD, CI/CD y modelos como Test Pyramid
Realizar diferentes tipos de pruebas funcionales y multifuncionales, incluidas pruebas de rendimiento y seguridad en diversas arquitecturas
Conocimiento de ux y la investigación del usuario, incluido prototipado , y AB testing.
Experiencia realizando casos de prueba, escenarios de prueba, matrices de prueba y demás artefactos.
Seguimiento y control de defectos con Jira, algún CRM o control de incidentes.
Levantamiento de requerimientos sobre defectos detectados.
Automatización de pruebas Somos una empresa que busca tu entusiasmo, tus ganas de innovar, de crecer y retarte profesionalmente, nos gusta romper esquemas y dar nuesto 100%. Salario basado en experiencia, compuesto por base y variables por objetivos
Capacitación y formación continua
Beneficios de ley y seguros médicos privados
Crecimiento profesional en una empresa de Expansión internacional
Beneficio de 4 medios dias libres
Día libre por tu cumpleaños Conocimientos: Conocimientos de manejo de ERP ( Microsoft Dynamics 365 deseable) Conocimiento de DEVOPS (deseable ) Conocimientos de lenguaje de programación C# ( Deseable) Metodología Scrum Conocimiento de herramienta JIRA Tareas y responsabilidades principales: Planificación y diseño de pruebas ... En SEDEMI buscamos un Técnico QA/QC Civil que asegure los más altos estándares en nuestros proyectos de infraestructuraFormacion: Tercer nivel completo en Ingeniería Civil 3 a 4 años en cargos similares Experiencia en: Proyectos de infraestructura y obra civil Inspección de obras Procesos ... Experiencia en: Proyectos de infraestructura y obra civil Inspección de obras Procesos constructivos Liberación de productos con fiscalización Ensayos destructivos y no destructivos Elaboración de dossier de calidad y punch list Garantizar la calidad de los trabajos civiles en obra, asegurando el cumplimiento de especificaciones técnicas, normativas nacionales e internacionales, y estándares internos de la empresa, a través de controles, inspecciones y reportes documentados.Funciones principales: Supervisar y controlar las ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/qa-1117975850.html
4,TECNICO QA/QC CIVIL,,"Quito, Pichincha, Ecuador",,Presencial,"Full-time, Indeterminado",,Semi Sr,2 vacantes disponibles,"SEDEMI, es una empresa especializada en crear Soluciones para Proyectos de Infraestructura. Somos un referente del sector de la construcción por nuestra amplia experiencia en la ejecución de proyectos en todos los sectores productivos del país y la región. El 53.8% de profesionales recomiendan trabajar en esta empresa",https://www.multitrabajos.com/empleos/tecnico-qa-qc-civil-sedemi-1118005537.html
5,TECNICO QA/QC CIVIL,,"Quito, Pichincha, Ecuador",,Presencial,"Full-time, Indeterminado",,Semi Sr,2 vacantes disponibles,"SEDEMI, es una empresa especializada en crear Soluciones para Proyectos de Infraestructura. Somos un referente del sector de la construcción por nuestra amplia experiencia en la ejecución de proyectos en todos los sectores productivos del país y la región. El 53.8% de profesionales recomiendan trabajar en esta empresa",https://www.multitrabajos.com/empleos/tecnico-qa-qc-civil-sedemi-1118005546.html
6,Ingeniero de Procesos QA,,"Durán, Guayas, Ecuador",,Presencial,Full-time,,Senior / Semi-Senior,1 vacante disponible,"Conocimientos:
Conocimientos de manejo de ERP ( Microsoft Dynamics 365 deseable)
Conocimiento de DEVOPS (deseable )
Conocimientos de lenguaje de programación C# ( Deseable)
Metodología Scrum
Conocimiento de herramienta JIRA
Tareas y responsabilidades principales:
Planificación y diseño de pruebas
Ejecución de pruebas
Documentación de errores
Seguimiento y análisis
Trabajar de forma colaborativa con desarrolladores del equipo para comunicar los problemas y verificar las soluciones.

Requisitos:
Experiencia:
Mínimo de 2 años
Formación académica:
Los títulos en Ingeniería Informática, Ingeniería de Telecomunicaciones o Ciencia e Ingeniería de Datos. ¡Estamos en búsqueda de tu talento!Somos una empresa que busca tu entusiasmo, tus ganas de innovar, de crecer y retarte profesionalmente, nos gusta romper esquemas y dar nuesto 100%.Creemos en tu talento y te queremos con nosotros, ¡Súmate a nuestro equipo!.Estamos en la búsqueda de nuestro QATus ... GRUPO VIAMATICA se especializa en brindar soluciones tecnológicas integrales para grandes, medianas y pequeñas empresas. Nuestro objetivo y compromiso es formar parte de la transformación digital contando con talento humano de amplia experiencia para una correcta ejecución de proyectos. Analista de ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/ingeniero-de-procesos-qa-1118022535.html
