titulo,empresa,ubicacion,salario,modalidad,jornada,Area,pagina,habilidades_hard,habilidades_soft
analista de mercadeo ecuador,Consultores S&S Asociados,"Quito, Pichincha [inc.Quito]",1000.0,,tiempo completo indeterminado,Analista de Datos,accion trabajo,excel,"comunicación, proactividad"
"ingeniero en sistemas, programador o analista de sistemas",smartflow,"Quito, ecuador, Pichincha [inc.Quito]",900.0,,tiempo completo temporal,Analista de Datos,accion trabajo,"java, php, c#, html/css, sql","trabajo en equipo, resolución de problemas"
analista programador,ANS del Ecuador,"Guayaquil, Guayas",,,tiempo completo temporal,Analista de Datos,accion trabajo,"java, php, html/css, sql, aws","resolución de problemas, orientación a resultados, proactividad, pensamiento crítico"
analista marketing - mujeres,PARMEG S.A,"GUAYAQUIL, Guayas",450.0,,tiempo completo indeterminado,Analista de Datos,accion trabajo,No especificado,"comunicación, orientación a resultados, aprendizaje continuo, proactividad, gestión del tiempo"
analista de programas,Childfund International,"Quito, Pichincha [inc.Quito]",1200.0,,tiempo completo temporal,Analista de Datos,accion trabajo,excel,"gestión del tiempo, pensamiento crítico"
perfil analista de sistemas,SIMPLUSLATAM,"Guayaquil, Guayas",,,tiempo completo indeterminado,Analista de Datos,accion trabajo,No especificado,"pensamiento crítico, atención al detalle"
analista de operaciones campo,Dichter & Neira,"Manta, Manabí",,,tiempo completo indeterminado,Analista de Datos,accion trabajo,excel,"pensamiento crítico, atención al detalle"
administrador de base de datos- excel 100,Asistecom,"Quito, Pichincha [inc.Quito]",500.0,,tiempo completo indeterminado,Analista de Datos,accion trabajo,excel,"resolución de problemas, atención al detalle, proactividad, gestión del tiempo"
analista de aseguramiento de la calidad qa (tester),Bupartech,"Quito, Pichincha [inc.Quito]",1.0,,tiempo completo temporal,Analista de Datos,accion trabajo,"sql, casos de prueba","trabajo en equipo, comunicación, aprendizaje continuo, atención al detalle, gestión del tiempo"
analista de costos,Goddard Catering Group Quito,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,Analista de Datos,accion trabajo,No especificado,"resolución de problemas, atención al detalle"
analista marketing,PARMEG S.A,"GUAYAQUIL, Guayas",400.0,,tiempo completo indeterminado,Analista de Datos,accion trabajo,No especificado,"comunicación, orientación a resultados, aprendizaje continuo, proactividad, gestión del tiempo"
analista desarrollador,Technology Partners,"Guayaquil, Guayas",,,tiempo completo indeterminado,Analista de Datos,accion trabajo,sql,"trabajo en equipo, resolución de problemas"
qa automation senior | híbrido en quito,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"excel, pruebas manuales","trabajo en equipo, liderazgo, aprendizaje continuo, atención al detalle"
qa automation senior | híbrido en quito,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"excel, pruebas manuales","trabajo en equipo, liderazgo, aprendizaje continuo, atención al detalle"
"qa semisenior | híbrido en uruguay, colombia y ecuador",Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,pruebas manuales,"trabajo en equipo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, pensamiento crítico"
qa automatizador senior - remoto global (cédula ecuatoriana),Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"excel, pruebas manuales","trabajo en equipo, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle"
qa automatizador | ecu,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"excel, scrum, pruebas manuales","trabajo en equipo, liderazgo, orientación a resultados, atención al detalle"
qa engineer | ecu,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"jira, appium, jmeter, scrum, pruebas manuales, pruebas automatizadas","trabajo en equipo, orientación a resultados, atención al detalle"
qa automatizador semi senior - con cédula ecuatoriana,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"excel, scrum, pruebas manuales, casos de prueba","trabajo en equipo, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad"
ux/ui semi senior- quito- ecuador,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"git, scrum","trabajo en equipo, liderazgo, aprendizaje continuo"
desarrollador backend nestjs semisenior,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"javascript, aws, kubernetes","trabajo en equipo, comunicación, aprendizaje continuo, atención al detalle"
arquitecto de soluciones senior,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,microservicios,"trabajo en equipo, liderazgo, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, pensamiento crítico"
diseñador ux & iu - quito - presencial,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,git,"trabajo en equipo, liderazgo, creatividad"
desarrollador backend nestjs senior,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,accion trabajo,"javascript, aws, kubernetes, docker","trabajo en equipo, comunicación, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle"
ingeniero de software qa,APS Consulting Group,"Guayaquil, Guayas",,,tiempo completo indeterminado,QA,accion trabajo,"selenium, appium, excel, scrum, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, atención al detalle, pensamiento crítico"
senior software qa - líder de equipo,PaymentEvolution,"Quito, Pichincha [inc.Quito]",1000.0,,tiempo completo indeterminado,QA,accion trabajo,"java, javascript, python, jira, selenium, excel, restful apis, scrum, pruebas manuales","trabajo en equipo, comunicación, liderazgo, atención al detalle"
"qa/qc manager 12yr + - fort mcmurray, alberta, canada","IMCV Costa Rica, S.A.","Canada, Extranjero",,,tiempo completo temporal,QA,accion trabajo,"excel, restful apis, testing","trabajo en equipo, atención al detalle, comunicación"
senior qa manual tester,Webcreek,"Mexico City , Teletrabajo",,"mexico city ,teletrabajo",tiempo completo indeterminado,QA,accion trabajo,"git, selenium, jmeter, excel, restful apis, scrum, testing","trabajo en equipo, adaptabilidad"
"supervisores qa qc mecánicos, civiles y eléctricos",Vakovic S.A.,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,QA,accion trabajo,No especificado,"atención al detalle, comunicación"
analista de aseguramiento de la calidad qa (tester),Bupartech,"Quito, Pichincha [inc.Quito]",1.0,,tiempo completo temporal,QA,accion trabajo,"sql, casos de prueba","trabajo en equipo, comunicación, aprendizaje continuo, atención al detalle, gestión del tiempo"
qa automatizador,Double V Partners,"Guayaquil, Pichincha [inc.Quito]",1200.0,,tiempo completo indeterminado,QA,accion trabajo,"jenkins, pruebas automatizadas","trabajo en equipo, atención al detalle, comunicación"
senior full-stack developer (nodejs/reactjs),Webcreek,"Ecuador, Teletrabajo",,"ecuador,teletrabajo",tiempo completo indeterminado,QA,accion trabajo,"javascript, sql, react, aws, kubernetes, excel, scrum","trabajo en equipo, adaptabilidad"
Probador De Software (QA) / Investigación Y,BairesDev,"Guayaquil, Guayas",,,,QA,bing,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Lead,Jelou AI,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"java, javascript, python, aws, gcp, jira, selenium, cypress, postman, soap ui, restful apis, scrum, ci/cd, devops, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba, test automation, test planning","trabajo en equipo, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle, pensamiento crítico"
Analista Tester (QA),Integrity Solutions,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"java, javascript, c#, c++, html/css, sql, azure, git, excel, scrum, devops, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, resolución de problemas, atención al detalle, proactividad"
Analista Tester (QA),Integrity Solutions,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"java, javascript, c#, c++, html/css, sql, azure, git, jmeter, postman, excel, devops, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, atención al detalle, proactividad"
Sr. IT Support Engineer ‍ Join A QA Team In A,Prometeo Talent,"Guayaquil, Guayas",,,,QA,bing,"powershell, excel, restful apis, machine learning, linux, windows, macos, esxi, hyper-v, testing, casos de prueba, test automation, test planning","trabajo en equipo, atención al detalle, proactividad, inglés avanzado"
Auxiliar De Producción Firmware Y QA Acuícola-Gye,Buscojobs Ecuador,"Guayaquil, Guayas",,,tiempo completo,QA,bing,casos de prueba,"trabajo en equipo, atención al detalle, gestión del tiempo"
Auxiliar De Producción Firmware Y QA Acuícola-Gye,Gestalt Consultora,"Guayaquil, Guayas",,,tiempo completo,QA,bing,casos de prueba,"atención al detalle, comunicación, pensamiento crítico"
QA Analyst Senior - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,bing,"sql, casos de prueba","atención al detalle, comunicación, pensamiento crítico"
QA Automation Engineer/ Research + Development,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"unix, linux, casos de prueba","atención al detalle, comunicación, pensamiento crítico"
Senior QA Automation Engineer Latam,BairesDev,"Guayaquil, Guayas",,Remoto,tiempo completo,QA,bing,"java, python, c++, excel, restful apis, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, inglés avanzado, mentoría"
Probador De Software (QA) / Investigación Y,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Engineer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,,QA,bing,"sql, excel, machine learning, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
QA Analyst,Jelou AI,"Guayaquil, Guayas",,,,QA,bing,"java, python, postman, soap ui, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle"
Senior De Automatización De QA / Investigación Y,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Software QA Specialist / Research + Development,BairesDev,"Guayaquil, Guayas",,Remoto,tiempo completo,QA,bing,"excel, restful apis, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
Analista Tester QA Senior 2,Integrity Solutions,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"c#, c++, selenium, excel, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, atención al detalle, proactividad"
QA Automation Engineer,Devsu,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Senior De Automatización De QA / Investigación Y,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Automation Leader / Research + Development,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"unix, linux, casos de prueba","atención al detalle, comunicación, pensamiento crítico"
