titulo,empresa,ubicacion,salario,modalidad,jornada,Area,pagina,habilidades_hard,habilidades_soft
Asistente De Selección,RP3 Retail Software,Guayas,,,tiempo completo,Desarrollador de Software,bing,No especificado,trabajo en equipo
Representante De Éxito Del Cliente - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,bing,"excel, restful apis, machine learning","trabajo en equipo, comunicación, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, proactividad, creatividad, inglés avanzado, mentoría"
CONDUCTOR DE ITV,DP World,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"docker, restful apis","trabajo en equipo, liderazgo, adaptabilidad, orientación a resultados, gestión del tiempo, creatividad"
Profesionales En Energías Renovables (Remoto),CAAP - CENTRO DE AYUDA ACADÉMICA PROFESIONAL,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,bing,No especificado,"trabajo en equipo, adaptabilidad, orientación a resultados, aprendizaje continuo, gestión del tiempo"
HRIS Business Analyst - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, scrum, ci/cd, machine learning","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Desarrollador De Software Frontend Junior,Iberoamerican University Foundation (FUNIBER),"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, python, php, html/css, sql, docker, jenkins, git, excel, restful apis, scrum, ci/cd, devops, machine learning, linux, wordpress, nuxt.js, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, comunicación, resolución de problemas, proactividad, gestión del tiempo, creatividad, inglés avanzado"
Desarrollador Junior,LueCod,Azuay,,,,Desarrollador de Software,bing,"java, python, c++, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, comunicación, aprendizaje continuo, proactividad"
Desarrollador TAT,La Universal,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"excel, desarrollo web, desarrollo móvil, desarrollo de software","adaptabilidad, creatividad, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Desarollador Angular / I+D - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, html/css, sql, excel, machine learning","trabajo en equipo, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Desarrollador Erp,Jaher,"Cuenca, Azuay",,,,Desarrollador de Software,bing,"java, javascript, sql, excel, restful apis, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, resolución de problemas, proactividad, creatividad"
Desarrollador Java,Neoris,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"java, aws, git, microservicios, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
Principal Full Stack Developer With React,Teramind,"Guayaquil, Guayas",,Remoto,,Desarrollador de Software,bing,"java, javascript, c++, html/css, sql, docker, git, excel, restful apis, ci/cd, devops, machine learning, desarrollo de software","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, atención al detalle, inglés avanzado"
Analista Desarrollador De Software,Almacenes Mirna,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,"java, javascript, c#, html/css, sql, aws, git, restful apis, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Desarrollador Con Experiencia En PHP,Itd Innovación Tecnología Y Desarrollo S.A.,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, php, html/css, sql, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","atención al detalle, gestión del tiempo, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Work From Home Salesforce Developer Ref. 0102E,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"git, excel, machine learning, salesforce, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado"
Trabajo Desde Casa Desarrollador Fullstack .NET Angular Investigación Y Desarrollo Ref. 0001S RD,BairesDev,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"javascript, c#, c++, html/css, sql, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad"
Desarrollador Senior,Corporación Empresarial Eljuri,"Cuenca, Azuay",,Presencial,tiempo completo,Desarrollador de Software,bing,"git, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, liderazgo, orientación a resultados"
Mid-Level Flask Developer - Remote - Latin America,FullStack Labs,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,,Desarrollador de Software,bing,"javascript, python, c++, git, scrum, machine learning, desarrollo de software","trabajo en equipo, orientación a resultados, atención al detalle, inglés avanzado"
Senior Flutter Developer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"javascript, c++, restful apis, scrum, ci/cd, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
? Ejecutivo Comercial Senior Y Supervisor Comercial ? Desarrollador De Negocios,Confidencial,"Guayaquil, Guayas",,Presencial,tiempo completo,Desarrollador de Software,bing,"restful apis, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, liderazgo, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, gestión del tiempo"
Junior Angular Developer / R+D - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"java, javascript, html/css, sql, excel, restful apis, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
Golang Developer - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,bing,"sql, aws, docker, excel, microservicios, restful apis, scrum, ci/cd, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, liderazgo, adaptabilidad, atención al detalle, gestión del tiempo, creatividad, inglés avanzado"
Senior SAP Hana Developer Latam - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, sql, excel, restful apis, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, inglés avanzado, mentoría"
Senior Vue.Js Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,,Desarrollador de Software,bing,"java, javascript, excel, restful apis, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Senior Kafka Developer Latam - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, excel, restful apis, ci/cd, machine learning, desarrollo de software","trabajo en equipo, comunicación, adaptabilidad, inglés avanzado, mentoría"
Senior Netsuite ERP Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"excel, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Senior Ios Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, excel, restful apis, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado, mentoría"
Programador En React Native,Desarsoft S.A.,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"javascript, desarrollo web, desarrollo móvil, desarrollo de software","adaptabilidad, atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Senior Shopify Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"excel, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Senior Shopify Developer Latam,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, excel, restful apis, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado, mentoría"
Software Engineer Python - Remote,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"python, c++, sql, git, excel, restful apis, machine learning","trabajo en equipo, adaptabilidad, atención al detalle, proactividad, inglés avanzado, mentoría"
Programador Junior Temporal,Consultora De Talento Humano Ml,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, html/css, restful apis, machine learning, desarrollo web, desarrollo de software","atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
C++ Tech Lead - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, excel, machine learning","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
UI Designer / I+D - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,bing,"excel, scrum, machine learning","trabajo en equipo, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Work From Home Fullstack Javascript Engineer React Node Ref. 0289E,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"java, javascript, sql, aws, docker, excel, restful apis, machine learning","trabajo en equipo, comunicación, adaptabilidad, inglés avanzado"
Java Engineer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,,Desarrollador de Software,bing,java,atención al detalle
Senior Devops - Remote,BairesDev,"Anywhere, Guayas",,Remoto,,Desarrollador de Software,bing,"c++, sql, excel, microservicios, scrum, ci/cd, devops, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Deep Learning Hardware Engineer,Iris Capital,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"c++, excel, machine learning","trabajo en equipo, comunicación, aprendizaje continuo"
Agile Coach / I+D - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,,Desarrollador de Software,bing,"excel, scrum, devops, machine learning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, pensamiento crítico, inglés avanzado"
Senior Big Data Engineer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"excel, machine learning","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Partner En Adquisición De Talentos - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,bing,"excel, machine learning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad, inglés avanzado"
Técnico En Soporte,SoftwareONE,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"git, excel, restful apis, scrum, windows","trabajo en equipo, comunicación, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, proactividad, gestión del tiempo"
Soporte TI,TELDISCORP,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,No especificado,"trabajo en equipo, liderazgo, gestión del tiempo"
Líder De Automatización QA - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,bing,"jira, excel, restful apis, scrum, ci/cd, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, liderazgo, adaptabilidad, atención al detalle, creatividad, pensamiento crítico"
Senior AI/ML Full Stack Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, sql, restful apis, scrum, ci/cd, machine learning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Ingeniero De Soporte En Redes,Hitss Ecuador,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"powershell, bash, excel, linux, windows",resolución de problemas
"Data Engineer - Remote, Latin America",Bluelight,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, sql, aws, git, excel, power bi, restful apis, scrum, machine learning, linux, salesforce","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo"
Senior Elixir Engineer With React Skills - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"javascript, c++, scrum, ci/cd, machine learning, playwright","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Delivery Director - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,bing,"excel, scrum, machine learning","trabajo en equipo, comunicación, liderazgo, adaptabilidad, atención al detalle, proactividad, gestión del tiempo, creatividad, inglés avanzado"
MECANICO DE TALLER,DP World,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"c++, docker, restful apis","trabajo en equipo, liderazgo, adaptabilidad, gestión del tiempo, creatividad, inglés avanzado"
Coordinador De Capacitación,RP3 Retail Software,Guayas,,,tiempo completo,Desarrollador de Software,bing,No especificado,aprendizaje continuo
Talent Acquisition Lead (Hunting) - Trabajo Remoto REF#284392,BairesDev,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,bing,machine learning,"trabajo en equipo, liderazgo, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, creatividad, inglés avanzado, mentoría"
Buscamos PASANTE DE DISEÑO GRÁFICO,MatchPriint,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,No especificado,"trabajo en equipo, aprendizaje continuo, creatividad"
Saas Administrator - Remote - Latin America,FullStack Labs,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"git, scrum, machine learning","trabajo en equipo, orientación a resultados, inglés avanzado"
Finance Manager - Rmote Work Latam,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, excel, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, proactividad, inglés avanzado, multitarea"
Desarrollador De Canal Consumo Masivo - Guayaquil,GRUPO LUCKY,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,"desarrollo web, desarrollo móvil, desarrollo de software","comunicación, atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Desarrollador Web/Móvil,Logistics & Consulting Business Click S.A.,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"javascript, git, restful apis, linux, desarrollo web, desarrollo móvil, programación, desarrollo de software","resolución de problemas, trabajo en equipo, aprendizaje continuo"
Desarrollador De Negocios De Energía (Bes),Sarp Veolia,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,desarrollo de software,"atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Desarrollador De Negocios - Planta De Tratamiento,Interagua,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,"git, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, liderazgo, resolución de problemas, orientación a resultados, gestión del tiempo"
Desarrollador Senior O Arquitecto De Software,alicunde,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,"java, javascript, excel, restful apis, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
Desarrollador,Creative Works S.A,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"javascript, desarrollo de software","atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
PHP Developer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"javascript, php, sql, excel, microservicios, scrum, ci/cd, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Desarrollador Web,Karl Newman,Azuay,,,,Desarrollador de Software,bing,"desarrollo web, desarrollo de software","creatividad, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Desarrollador Big Data,SoftConsulting S.A.,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"javascript, python, sql, bash, linux, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Trabajo Desde Casa Desarrollador ETL Ref. 0339S,BairesDev,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"python, sql, excel, redis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, proactividad, creatividad"
Desarrollador Backend Java Microservicios,Bayteq,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"java, azure, kubernetes, docker, git, excel, microservicios, restful apis, scrum, devops, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
Desarrollador Front End Angular,NTT DATA EMEAL,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, html/css, ci/cd, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, liderazgo, aprendizaje continuo, atención al detalle, creatividad"
Node Developer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"javascript, sql, excel, microservicios, restful apis, scrum, ci/cd, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Desarrollador Comercial Jr Temporal-QUITO,ESTRATEGIAS Y MERCADO S.A. ESTRAMERCADO,"Pichincha, Manabí",,,tiempo completo,Desarrollador de Software,bing,"excel, restful apis, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Trabajo Desde Casa Desarrollador Node Juniormidlevel Ref. 0111S,BairesDev,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"sql, microservicios, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
Trabajo Desde Casa Desarrollador Senior .NET I D Ref. 0001S RD,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, c#, html/css, sql, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad"
Desarrollador De Software Medio Tiempo,CARRILLO JARA KARINA CECIBEL,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, php, sql, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo"
"Para Quito Se Busca Desarrollador Móvil En Flutter, Y Angular",Business Insights,"Quito, Pichincha",,,,Desarrollador de Software,bing,"java, javascript, html/css, git, excel, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, atención al detalle, proactividad, creatividad"
"Flask/Django And React Developer - Fullstack Senior Engineer - Remote, Latin America",Bluelight,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"java, javascript, python, c++, sql, aws, docker, jenkins, git, excel, restful apis, ci/cd, redis, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo"
Pasante Desarrollador De Software Frontend,global finances,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, python, sql, git, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Senior Blockchain Developer Latam,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,bing,"java, javascript, c++, excel, restful apis, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado, mentoría"
Programador Full Stack Python +,Agrosoft Latam,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"javascript, python, sql, restful apis, desarrollo de software","trabajo en equipo, creatividad, resolución de problemas, aprendizaje continuo"
Programador En React / React Native,pcgerente,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"javascript, html/css, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, comunicación, creatividad"
Ingeniero Python / Investigación Y Desarrollo,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,bing,"python, sql, excel, machine learning","trabajo en equipo, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Programador Senior,Andersen Ecuador,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"java, javascript, python, php, c#, html/css, sql, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, creatividad"
Programador Sap,reysac,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,"power bi, programación, desarrollo de software","proactividad, gestión del tiempo, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Python Engineer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"python, sql, excel, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Programador,FEDERACIÓN DEPORTIVA DEL GUAYAS,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,"php, c#, c++, html/css, sql, machine learning, desarrollo web, programación, desarrollo de software","trabajo en equipo, gestión del tiempo, resolución de problemas, aprendizaje continuo"
Programador De Sistemas,Corporación Aldía,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,"c#, html/css, sql, scrum, devops, machine learning, windows, desarrollo web, desarrollo móvil, programación, desarrollo de software","atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Ingeniero De Software PL/SQL,Agrosoft Latam,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"c++, sql","trabajo en equipo, atención al detalle, pensamiento crítico"
React Native Tech Lead,BairesDev,"Guayaquil, Guayas",,Remoto,,Desarrollador de Software,bing,"java, javascript, c++, html/css, aws, excel, scrum, machine learning","trabajo en equipo, adaptabilidad, inglés avanzado, mentoría"
Java Analyst - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,,Desarrollador de Software,bing,"java, excel, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
ESPECIALISTA UX/UI GUAYAQUIL,XTRIM,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"git, jira, scrum","trabajo en equipo, comunicación, liderazgo, atención al detalle"
Pasante De Programación,Bold Consulting Group,"Guayaquil, Guayas",,Presencial,tiempo completo,Desarrollador de Software,bing,"java, javascript, python, restful apis, machine learning","resolución de problemas, creatividad"
Especialista En Aplicaciones Web,Urvaseo,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,sql,"resolución de problemas, gestión del tiempo"
Consultor O Consultora De Implementación Software,E-volution Software de Talento Humano y Nómina,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,c#,"trabajo en equipo, comunicación, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle"
Devops Engineer,Jelou AI,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"kubernetes, docker, jenkins, git, ci/cd, devops","trabajo en equipo, comunicación, resolución de problemas, atención al detalle, gestión del tiempo, pensamiento crítico"
Talent Support Specialist - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"c++, excel, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Palantir Foundry Engineer - Remote Work REF#284290,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"excel, machine learning","trabajo en equipo, adaptabilidad, inglés avanzado"
Gerente De Comunicación Externa - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,bing,"git, excel, machine learning","trabajo en equipo, comunicación, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, creatividad, inglés avanzado"
Instructor,MEDIC DY S.AS.,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,No especificado,"trabajo en equipo, aprendizaje continuo"
Cazatalentos Ejecutivo - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,bing,"excel, restful apis, machine learning","trabajo en equipo, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, proactividad, gestión del tiempo, creatividad, inglés avanzado, mentoría"
Talent Acquisition Manager - Remote Work REF#284375,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"excel, machine learning","trabajo en equipo, adaptabilidad, inglés avanzado"
TECNICO DE FACILIDADES,DP World,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,"docker, restful apis","trabajo en equipo, liderazgo, adaptabilidad, gestión del tiempo, creatividad, inglés avanzado"
Ingeniero De Soporte N1 Junior,Hitss Ecuador,"Guayaquil, Guayas",,,,Desarrollador de Software,bing,"sql, linux",No especificado
Vendedor Freelance // Sur De Guayaquil,AFCORP,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,excel,"comunicación, liderazgo, resolución de problemas, orientación a resultados, proactividad"
Ingeniero De Preventa,Hikvision,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,bing,No especificado,"trabajo en equipo, comunicación, liderazgo, resolución de problemas, aprendizaje continuo, creatividad"
Gye - Vendedor De Ruta,RP3 Retail Software,Guayas,,,tiempo completo,Desarrollador de Software,bing,No especificado,No especificado
Auxiliar De Mantenimiento Sto Domingo,Tiasa,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,bing,No especificado,"trabajo en equipo, atención al detalle, pensamiento crítico"
Python Backend Developer / R + D - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"python, sql, machine learning, desarrollo de software","atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Junior/Midlevel Java Developer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"java, sql, desarrollo de software","atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
SQL Developer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"sql, excel, machine learning, desarrollo de software","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, inglés avanzado"
Senior Python Backend Developer / R + D - Remote,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,bing,"python, sql, machine learning, desarrollo de software","atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
